id,speakers,previous,tokens,tags
1479,MC,also Personensuche voran- bringen,und dann eventuell noch nach der Schadenursache gucken,1
1480,TL,und dann eventuell noch nach der Schadenursache gucken,das ist verstanden,7
1481,TL,das ist verstanden,an UGV 1 UGV 2 UAV,4
1482,TL,an UGV 1 UGV 2 UAV,kurze Lagedarstellung,2
1483,TL,kurze Lagedarstellung,es gab ein'n Zwischenfall zwischen zwei Hochöfen,2
1484,TL,es gab ein'n Zwischenfall zwischen zwei Hochöfen,dort werden eine oder mehrere Personen vermisst,2
1485,TL,dort werden eine oder mehrere Personen vermisst,eine Rauchentwicklung ist zu erkennen,2
1486,TL,eine Rauchentwicklung ist zu erkennen,und da ist das Einsatzgebiet,2
1487,TL,und da ist das Einsatzgebiet,Auftrag für die UAV 1,1
1488,TL,Auftrag für die UAV 1,hören Sie mit?,4
1489,UAV,hören Sie mit?,UAV hört,5
1490,TL,UAV hört,genau,2
1491,TL,genau,Auftrag für die UAV 1,1
1492,TL,Auftrag für die UAV 1,ich brauch' einmal ein Lagebild von oben wo das komplette Objekt abgebildet wird und dann speziell ein Foto zwischen den beiden Türen,1
1493,TL,ich brauch' einmal ein Lagebild von oben wo das komplette Objekt abgebildet wird und dann speziell ein Foto zwischen den beiden Türen,verstanden?,3
1494,UAV,verstanden?,ein Lagebild von oben komplette Lage und ein Lagebild zwischen den beiden Türen verstanden,7
1495,TL,ein Lagebild von oben komplette Lage und ein Lagebild zwischen den beiden Türen verstanden,das ist korrekt,2
1496,TL,das ist korrekt,bitte auch per Infrarot bitte,1
1497,TL,bitte auch per Infrarot bitte,auf Menschen und sonstige Ereignisse scannen,1
1498,UAV,auf Menschen und sonstige Ereignisse scannen,ja beide Bilder in Infrarot ebenfalls,7
1499,TL,ja beide Bilder in Infrarot ebenfalls,korrekt,2
1500,TL,korrekt,UGV 1 von Teamleader?,4
1501,UGV-1,UGV 1 von Teamleader?,UGV 1 kommen,5
1502,TL,UGV 1 kommen,ja Ihr Auftrag ist in das Objekt reinzufahren und den Schadensort zu scannen zu bebildern,1
1503,UGV-1,ja Ihr Auftrag ist in das Objekt reinzufahren und den Schadensort zu scannen zu bebildern,ja verstanden,7
1504,UGV-1,ja verstanden,ich fahr rein,2
1505,TL,ich fahr rein,UGV 2 von Teamleader?,4
1506,UGV-2,UGV 2 von Teamleader?,UGV 2 kommen,5
1507,TL,UGV 2 kommen,ebenfalls Ihr Auftrag vom Westen her Richtung Osten die Einsatzstelle anfahren mir Ihrem UGV und Kontrolle ob Menschen zu erkennen sind beziehungsweise ob irgend ein Schadensereignis zu erkennen ist,1
1508,UGV-2,ebenfalls Ihr Auftrag vom Westen her Richtung Osten die Einsatzstelle anfahren mir Ihrem UGV und Kontrolle ob Menschen zu erkennen sind beziehungsweise ob irgend ein Schadensereignis zu erkennen ist,verstanden,7
1509,TL,verstanden,Mission Commander von Teamleader,4
1510,MC,Mission Commander von Teamleader,kommen Sie,5
1511,TL,kommen Sie,ja,6
1512,TL,ja,erste Maßnahmen eingeleitet wir erstellen ein Lagebild mit der Drohne von oben und per Infrarot,2
1513,TL,erste Maßnahmen eingeleitet wir erstellen ein Lagebild mit der Drohne von oben und per Infrarot,des Weiteren die zwei UGVs eingeteilt die fahren vor zum Schadensereignis zwecks Menschensuche und weitere Lagedarstellung,2
1514,MC,des Weiteren die zwei UGVs eingeteilt die fahren vor zum Schadensereignis zwecks Menschensuche und weitere Lagedarstellung,verstanden,2
1515,MC,verstanden,Teamleader von Mission Commander kommen,4
1516,TL,Teamleader von Mission Commander kommen,Teamleader hört,5
1517,MC,Teamleader hört,welcher Roboter ist jetzt für die Verletztensuche eingeteilt?,3
1518,TL,welcher Roboter ist jetzt für die Verletztensuche eingeteilt?,UGV 1 und UGV 2,2
1519,TL,UGV 1 und UGV 2,die suchen Verletzte ein- feststellen,6
1520,TL,die suchen Verletzte ein- feststellen,die suchen Verletzte feststellen was da genau los ist,2
1521,MC,die suchen Verletzte feststellen was da genau los ist,ja verstanden,2
1522,MC,ja verstanden,Teamleader von Mission Commander kommen,4
1523,TL,Teamleader von Mission Commander kommen,Teamleader hört,5
1524,MC,Teamleader hört,Bild von der UAV eingetroffen?,3
1525,TL,Bild von der UAV eingetroffen?,ja das erste Bild,7
1526,UGV-1,ja das erste Bild,Teamleader von UGV 1,4
1527,TL,Teamleader von UGV 1,Teamleader hört,5
1528,UGV-1,Teamleader hört,Rauchentwicklung erste Treppe nach oben,2
1529,UGV-1,Rauchentwicklung erste Treppe nach oben,ich schick dir mal ein Screenshot,2
1530,TL,ich schick dir mal ein Screenshot,korrekt,7
1531,TL,korrekt,und wenn weitere Erkenntnis das auch melden,1
1532,MC,und wenn weitere Erkenntnis das auch melden,Teamleader von Mission Commander kommen,4
1533,TL,Teamleader von Mission Commander kommen,Teamleader hört,5
1534,MC,Teamleader hört,aus dem ersten Foto von der UAV mit der Übersicht ist da so ein heller Fleck zu sehen,2
1535,MC,aus dem ersten Foto von der UAV mit der Übersicht ist da so ein heller Fleck zu sehen,vielleicht kann man nochmal dran zoomen,1
1536,MC,vielleicht kann man nochmal dran zoomen,ich weiß nicht was das ist - ob das jetzt eine Person ist oder - das ist,6
1537,MC,ich weiß nicht was das ist - ob das jetzt eine Person ist oder - das ist,ich weiß nicht was das ist - ob das jetzt eine Person ist das ist unten am unteren Rand da ist ein [<unintelligible>],2
1538,MC,ich weiß nicht was das ist - ob das jetzt eine Person ist das ist unten am unteren Rand da ist ein [<unintelligible>],kommen,4
1539,UGV-1,kommen,Teamleader von UGV 1 kommen,4
1540,TL,Teamleader von UGV 1 kommen,Teamleader hört,5
1541,UGV-1,Teamleader hört,ja ich werde jetzt die Treppe mal hochfahren und weiter erkunden oben,2
1542,TL,ja ich werde jetzt die Treppe mal hochfahren und weiter erkunden oben,ja,7
1543,TL,ja,ja verstanden,2
1544,TL,ja verstanden,UGV 1 ist das die erste Etage oder so ne - nur fünf Stufen?,3
1545,UGV-1,UGV 1 ist das die erste Etage oder so ne - nur fünf Stufen?,ja zwölf Metallstufen,2
1546,TL,ja zwölf Metallstufen,verstanden,2
1547,TL,verstanden,mach mal ein Foto davon,1
1548,UGV-2,mach mal ein Foto davon,Teamleader für UGV 2 kommen,4
1549,TL,Teamleader für UGV 2 kommen,Teamleader hört,5
1550,UGV-2,Teamleader hört,ich bin jetzt auch in der Nähe vom Hochofen angekommen ich sehe Rauchentwicklung und auch einen umgestürtzten blauen Kanister,2
1551,UGV-2,ich bin jetzt auch in der Nähe vom Hochofen angekommen ich sehe Rauchentwicklung und auch einen umgestürtzten blauen Kanister,ich schicke Ihnen gleich mal ein Screenshot drüber,2
1552,TL,ich schicke Ihnen gleich mal ein Screenshot drüber,ja genau,7
1553,TL,ja genau,bitte darauf achten eine Bezeichnung auf dem Kanister zu erkennen,1
1554,UGV-2,bitte darauf achten eine Bezeichnung auf dem Kanister zu erkennen,verstanden,7
1555,MC,verstanden,Teamleader von Mission Commander kommen,4
1556,TL,Teamleader von Mission Commander kommen,Teamleader hört,5
1557,MC,Teamleader hört,liegen irgend welche Erkenntnisse nochmal vor inwiefern die Strukturen noch stabil genug sind um Eingriffstrupp reinzuschicken?,3
1558,TL,liegen irgend welche Erkenntnisse nochmal vor inwiefern die Strukturen noch stabil genug sind um Eingriffstrupp reinzuschicken?,UGV 1 UGV 2,4
1559,TL,UGV 1 UGV 2,könnt ihr abschätzen ob das Gebäude noch Tragfähigkeit hat?,3
1560,UGV-2,könnt ihr abschätzen ob das Gebäude noch Tragfähigkeit hat?,Teamleader für UGV2 kommen,4
1561,UGV-2,Teamleader für UGV2 kommen,Teamleader für UGV2 kommen,4
1562,TL,Teamleader für UGV2 kommen,Teamleader hört,5
1563,UGV-2,Teamleader hört,ich habe jetzt d- den Kanister gefunden es handelt sich um Otalin Pera-cet zirka 20 bis 30 liter Fassungsvermögen es scheint auch eine Leckage da zu sein,2
1564,UGV-2,ich habe jetzt d- den Kanister gefunden es handelt sich um Otalin Pera-cet zirka 20 bis 30 liter Fassungsvermögen es scheint auch eine Leckage da zu sein,d- den Kanister,6
1565,UGV-2,d- den Kanister,darüber hinaus habe ich auch - sehe ich auch Teile v-vom Gebäude hier liegen also es - ist - die strukturelle Integrität könnte gefährdet sein,2
1566,UGV-2,darüber hinaus habe ich auch - sehe ich auch Teile v-vom Gebäude hier liegen also es - ist - die strukturelle Integrität könnte gefährdet sein,darüber hinaus habe ich auch - sehe ich auch,6
1567,UGV-2,darüber hinaus habe ich auch - sehe ich auch,v-vom Gebäude,6
1568,UGV-2,v-vom Gebäude,also es - ist - die strukturelle Integrität könnte gefährdet sein,6
1569,TL,also es - ist - die strukturelle Integrität könnte gefährdet sein,ja verstanden,2
1570,TL,ja verstanden,Mission Commander von Teamleader,4
1571,MC,Mission Commander von Teamleader,kommen Sie,5
1572,TL,kommen Sie,ja diese Substanz wurde gefunden ein Foto folgt,2
1573,MC,ja diese Substanz wurde gefunden ein Foto folgt,ja verstanden,2
1574,UGV-2,ja verstanden,Teamleader für UGV2,4
1575,UGV-2,Teamleader für UGV2,ich habe jetzt ein Foto gemacht und geschickt vom Conta- von dem Kanister,2
1576,UGV-2,ich habe jetzt ein Foto gemacht und geschickt vom Conta- von dem Kanister,vom Conta- von dem Kanister,6
1577,TL,vom Conta- von dem Kanister,verstanden,2
1578,MC,verstanden,Teamleader v-von Mission Commander kommen,4
1579,MC,Teamleader v-von Mission Commander kommen,v-von,6
1580,TL,v-von,Teamleader hört,5
1581,MC,Teamleader hört,sind schon Verletzte gefunden worden?,3
1582,TL,sind schon Verletzte gefunden worden?,bisher noch nicht wir haben eine Erkenntnis auf auf einem Foto dem gehen wir jetzt nach,2
1583,UGV-2,bisher noch nicht wir haben eine Erkenntnis auf auf einem Foto dem gehen wir jetzt nach,Teamleader für UGV2 kommen,4
1584,UGV-2,Teamleader für UGV2 kommen,Teamleader für UGV2 kommen,4
1585,UGV-2,Teamleader für UGV2 kommen,Teamleader für UGV2 kommen,4
1586,UAV,Teamleader für UGV2 kommen,Teamleader von UAV-Operator kommen,4
1587,UAV,Teamleader von UAV-Operator kommen,Teamleader,5
1588,MC,Teamleader,Teamleader von Mission Commander kommen,4
1589,TL,Teamleader von Mission Commander kommen,Teamleader hört,5
1590,MC,Teamleader hört,Foto von dem blauen Kanister ist eingetroffen,2
1591,MC,Foto von dem blauen Kanister ist eingetroffen,auf Nachfrage handelt es sich um Kraftstoff,2
1592,MC,auf Nachfrage handelt es sich um Kraftstoff,Frage ist der Kanister defekt hat eine Leckage oder ist er noch dicht?,3
1593,TL,Frage ist der Kanister defekt hat eine Leckage oder ist er noch dicht?,ich klär das,2
1594,TL,ich klär das,UGV2 für Teamleader?,4
1595,UGV-2,UGV2 für Teamleader?,UGV2 kommen,5
1596,TL,UGV2 kommen,ja der Kanister mit Otalin ist er defekt?,3
1597,TL,ja der Kanister mit Otalin ist er defekt?,ist nur eine kleine Lache oder ist er komplett ausgelaufen?,3
1598,TL,ist nur eine kleine Lache oder ist er komplett ausgelaufen?,wie viel Liter sind das?,3
1599,UGV-2,wie viel Liter sind das?,so ich kann nicht genau einschätzen wie viel ausgelaufen ist,2
1600,UGV-2,so ich kann nicht genau einschätzen wie viel ausgelaufen ist,aber eine Leckage hat stattgefunden,2
1601,UGV-2,aber eine Leckage hat stattgefunden,der K-Kanister hat zirka 30 liter Fassvermögen,2
1602,UGV-2,der K-Kanister hat zirka 30 liter Fassvermögen,K-Kanister,6
1603,UGV-2,K-Kanister,ich kann aber eine Probe nehmen ich habe einen Arm dabei,2
1604,TL,ich kann aber eine Probe nehmen ich habe einen Arm dabei,ja,7
1605,TL,ja,dann bitte eine Probe nehmen,1
1606,TL,dann bitte eine Probe nehmen,gibt's irgendwelche Erkenntnisse wo die Rauchentwicklung herkommt?,3
1607,UGV-1,gibt's irgendwelche Erkenntnisse wo die Rauchentwicklung herkommt?,der GUV1 hat jetzt die Treppe erklommen ich werd' nach der Rauchquelle suchen,2
1608,TL,der GUV1 hat jetzt die Treppe erklommen ich werd' nach der Rauchquelle suchen,das ist verstanden,2
1609,UGV-1,das ist verstanden,aber mein Laser ist ausgefallen ich kann nur noch optisch fahren ist schon sehr verraucht,2
1610,TL,aber mein Laser ist ausgefallen ich kann nur noch optisch fahren ist schon sehr verraucht,ja verstanden,2
1611,TL,ja verstanden,du hast doch auch eine Infrarot-Kamera drauf,3
1612,TL,du hast doch auch eine Infrarot-Kamera drauf,kannst du damit was erkennen?,3
1613,UGV-1,kannst du damit was erkennen?,die funktioniert doch nicht,0
1614,TL,die funktioniert doch nicht,ja verstehe,2
1615,MC,ja verstehe,Teamleader für Mission Commander,4
1616,TL,Teamleader für Mission Commander,Teamleader hört,5
1617,MC,Teamleader hört,wir müssten eine Stelle mal genauer untersuchen,1
1618,UGV-1,wir müssten eine Stelle mal genauer untersuchen,Teamleader von UGV1 kommen,4
1619,UGV-2,Teamleader von UGV1 kommen,Teamleader für UGV2 kommen,4
1620,TL,Teamleader für UGV2 kommen,kurz warten,6
1621,TL,kurz warten,Teamleader hört,5
1622,UGV-2,Teamleader hört,wir haben jetzt eine Probe genommen und auch dabei,2
1623,UGV-2,wir haben jetzt eine Probe genommen und auch dabei,sollen wir jetzt die Suche fortsetzen nach Verletzten oder zurückkehren um die Probe zu analysieren?,3
1624,TL,sollen wir jetzt die Suche fortsetzen nach Verletzten oder zurückkehren um die Probe zu analysieren?,ja wir konnten bereits feststellen das Otalin was es genau ist fortsetzen der Suche,2
1625,UGV-1,ja wir konnten bereits feststellen das Otalin was es genau ist fortsetzen der Suche,Thorsten kannst du mich noch hören?,3
1626,UGV-1,Thorsten kannst du mich noch hören?,Teamleader von UGV1 kommen,4
1627,TL,Teamleader von UGV1 kommen,Mission Commander von Teamleader,4
1628,MC,Mission Commander von Teamleader,Mission Commander hört,5
1629,TL,Mission Commander hört,ja Rückmeldung,2
1630,TL,ja Rückmeldung,Trupp eine Person gefunden wieder aus dem Gefahrenbereich,2
1631,TL,Trupp eine Person gefunden wieder aus dem Gefahrenbereich,geht jetzt und an den Rettungsdienst übergeben,2
1632,MC,geht jetzt und an den Rettungsdienst übergeben,ja verstanden,2
1633,MC,ja verstanden,wir bräuchten mal eine genauere Untersuchung Bild Nummer 3,1
1634,UGV-1,wir bräuchten mal eine genauere Untersuchung Bild Nummer 3,Teamleader von UGV1 kommen,4
1635,MC,Teamleader von UGV1 kommen,Teamleader von Mission Commander kommen,4
1636,TL,Teamleader von Mission Commander kommen,ja war- kurz warten,6
1637,TL,ja war- kurz warten,war- kurz warten,6
1638,TL,war- kurz warten,UGV1 von Teamleader,4
1639,UGV-1,UGV1 von Teamleader,ja,5
1640,UGV-1,ja,die Verrauchung kommt aus einem grünen Fass ich hab mal ein Screenshot geschickt,2
1641,UGV-1,die Verrauchung kommt aus einem grünen Fass ich hab mal ein Screenshot geschickt,ich versuch' die Beschriftung noch besser zu fotografieren,2
1642,UGV-1,ich versuch' die Beschriftung noch besser zu fotografieren,es ist aber sehr verraucht,2
1643,UGV-1,es ist aber sehr verraucht,und mein Laser ist ausgefallen,2
1644,TL,und mein Laser ist ausgefallen,das ist verstanden,2
1645,UGV-2,das ist verstanden,Teamleader für UGV2 kommen,4
1646,TL,Teamleader für UGV2 kommen,Teamleader hört,5
1647,UGV-2,Teamleader hört,wir sind jetzt auch an dem grünen Kanister angekommen,2
1648,UGV-2,wir sind jetzt auch an dem grünen Kanister angekommen,wir haben einen Arm dabei sehen auch den zweiten Roboter,2
1649,UGV-2,wir haben einen Arm dabei sehen auch den zweiten Roboter,wir können vielleicht etwas bessere Bilder machen,2
1650,TL,wir können vielleicht etwas bessere Bilder machen,ja genau,7
1651,TL,ja genau,und da wieder die Kennzeichnung die brauchen wir,1
1652,TL,und da wieder die Kennzeichnung die brauchen wir,und eine Einschätzung ob Undichtigkeit und wenn ja wie viel Flüssigkeit ausgetreten ist,1
1653,MC,und eine Einschätzung ob Undichtigkeit und wenn ja wie viel Flüssigkeit ausgetreten ist,so jetzt mal stopp,1
1654,MC,so jetzt mal stopp,Teamleader für Mission Commander,4
1655,MC,Teamleader für Mission Commander,eine verletzte Person hier in diesen Strukturen,2
1656,MC,eine verletzte Person hier in diesen Strukturen,Teamleader von Mission Commander,4
1657,UGV-2,Teamleader von Mission Commander,Teamleader für UGV2 kommen,4
1658,UGV-1,Teamleader für UGV2 kommen,Teamleader-Funk ist ausgefallen,2
1659,UGV-2,Teamleader-Funk ist ausgefallen,Teamleader für UGV2 kommen,4
1660,MC,Teamleader für UGV2 kommen,Teamleader für Mission Commander kommen,4
1661,UGV-1,Teamleader für Mission Commander kommen,Teamleader-Funk ist ausgefallen,2
1662,MC,Teamleader-Funk ist ausgefallen,okay,2
1663,TL,okay,so der Team- der Teamleader hört wieder,2
1664,TL,so der Team- der Teamleader hört wieder,der Team- der Teamleader,6
1665,TL,der Team- der Teamleader,Funk funktioniert wieder,2
1666,UGV-2,Funk funktioniert wieder,Teamleader für UGV2 kommen,4
1667,TL,Teamleader für UGV2 kommen,Teamleader hört,5
1668,UGV-2,Teamleader hört,wir haben den grünen Container identifiziert haben auch ein Foto gemacht und es - es müsste in der Datenbank liegen,2
1669,UGV-2,wir haben den grünen Container identifiziert haben auch ein Foto gemacht und es - es müsste in der Datenbank liegen,es scheint - handelt sich um eine gift- giftige entzündliche - hochentzündliche Flüssigkeit,2
1670,UGV-2,es scheint - handelt sich um eine gift- giftige entzündliche - hochentzündliche Flüssigkeit,es scheint - handelt sich,6
1671,UGV-2,es scheint - handelt sich,eine gift- giftige,6
1672,UGV-2,eine gift- giftige,entzündliche - hochentzündliche,2
1673,UGV-1,entzündliche - hochentzündliche,UGV2 von 1,4
1674,UGV-2,UGV2 von 1,UGV1 kommen,5
1675,UGV-1,UGV1 kommen,davor ist noch ein gelber Kanister brennbares Material den hab ich auch mit fotografiert,2
1676,UGV-2,davor ist noch ein gelber Kanister brennbares Material den hab ich auch mit fotografiert,super den habe ich noch nicht gesehen,2
1677,UGV-2,super den habe ich noch nicht gesehen,danke schön,6
1678,MC,danke schön,Teamleader von Mission Commander kommen,4
1679,MC,Teamleader von Mission Commander kommen,Teamleader von Mission Commander kommen,4
1680,TL,Teamleader von Mission Commander kommen,Teamleader hört,5
1681,MC,Teamleader hört,wie ist der Stand der Rettung der Verletzten?,3
1682,TL,wie ist der Stand der Rettung der Verletzten?,ein Trupp arbeitet sich vor der Flug-Roboter fliegt vor die Position des Verletzten z- zwecks besseres Auffinden,2
1683,TL,ein Trupp arbeitet sich vor der Flug-Roboter fliegt vor die Position des Verletzten z- zwecks besseres Auffinden,z- zwecks,6
1684,MC,z- zwecks,ja verstanden,2
1685,UGV-1,ja verstanden,Teamleader von UGV1 kommen,4
1686,TL,Teamleader von UGV1 kommen,Teamleader hört,5
